Bowler,Cluster,DPPI_Bowl
JW Dernbach,1,1.0615760118204838
KMDN Kulasekara,1,1.0604121241937299
J Shaju,1,1.0600403899507524
RE van der Merwe,1,1.0586900387337674
KJ O'Brien,1,1.0580113441927514
T Panyangara,1,1.054882374484725
CA Young,1,1.0542763536830757
TL Chatara,1,1.054234582586881
Aizaz Khan,1,1.0527637993471521
Haroon Arshad,1,1.0525258343625514
D Klein,1,1.0519498143927106
PA van Meekeren,1,1.0473850994711347
JM Anderson,1,1.0442495485754835
P Aho,1,1.0429817141131914
Sahel Zadran,1,1.0427605897475924
Rizwan Butt,1,1.0414873029580807
KOK Williams,1,1.0404371634608593
Sahir Naqash,1,1.03880432411892
NLTC Perera,1,1.037348216628577
Mohammad Saifuddin,1,1.036685110264764
WD Parnell,1,1.035330936624543
Rashid Khan,1,1.0344743374104959
J Botha,1,1.0342253328600388
AS Joseph,1,1.033969578471557
Bilal Khan,1,1.0331174320757395
Shafiul Islam,1,1.03151749637717
TA Boult,1,1.030180226559331
JO Holder,1,1.0289061041709484
Mohammad Nabi,1,1.0278441094523798
Mudassar Bukhari,1,1.0258975593380075
Wahab Riaz,1,1.0258294025792118
Virandeep Singh,1,1.024902618058646
KW Richardson,1,1.0246189279357003
Ghulam Ahmadi,1,1.0238451820384737
BJ McCarthy,1,1.0226334722139392
Shaheen Shah Afridi,1,1.0224578278969298
DT Tiripano,1,1.0224262704500109
CA Young,1,1.022108250405919
DM Nakrani,1,1.0218431327084365
W Peatfield,1,1.0210756090754207
R Mangal,1,1.0193337816649526
SCJ Broad,1,1.0168559169138707
Mohammed Shami,1,1.0160366215009848
CB Mpofu,1,1.0142257553458744
SS Cottrell,1,1.0135290560062469
ST Finn,1,1.0120370360927817
D Klein,1,1.0119516809744418
AU Rashid,1,1.011490634212773
Noman Amjad,1,1.0106504029989019
AD Russell,1,1.0075369842798023
JR Hazlewood,1,1.006897982842872
Sohail Tanvir,1,1.0068704112487474
Zahoor Khan,1,1.006525473429368
NR Johns-Wickberg,1,1.0031117053699057
Mohammad Amir,1,1.0027638301349469
Riazat Ali Shah,1,1.0020467803713544
Riazat Ali Shah,1,1.001316160177312
DW Steyn,1,1.0012798841264323
Sayed Monib,1,1.0010393431166233
AJ Tye,1,1.0007976014903712
K Rabada,1,1.000301644357479
N Pradeep,1,0.9969561331883847
CR Woakes,1,0.9951132489351884
S Lamichhane,1,0.9943277940586263
OC McCoy,1,0.9930671160848153
A Bohara,1,0.9922734151628141
SW Tait,1,0.9912767076999762
TT Bresnan,1,0.9882022262948569
Sarfaraz Ali,1,0.9857944659499467
KOK Williams,1,0.9857813460126099
Janak Prakash,1,0.9851385456143891
Hasan Ali,1,0.9844005482453535
Dawlat Zadran,1,0.9831548789386901
J Sumerauer,1,0.9822125107539541
JJ Smit,1,0.9802797049432938
AR Cusack,1,0.9798145717278002
MA Wood,1,0.9785179942931529
JA Morkel,1,0.9784451117901038
LV van Beek,1,0.9776583360743024
Amjad Javed,1,0.9775896035447482
N Vanua,1,0.9757617619713778
Mohammad Hafeez,1,0.9746128154246982
SR Watson,1,0.9745422341873748
B Muzarabani,1,0.9726658643495624
NN Odhiambo,1,0.9710072083087153
Fazalhaq Farooqi,1,0.9709568018983152
R Ngarava,1,0.9700109881055482
P Khadka,1,0.9692454426214719
FH Edwards,1,0.9683838058715118
Rohan Mustafa,1,0.966821655269806
Taskin Ahmed,1,0.964617354646126
CR Brathwaite,1,0.9625665168257096
GH Dockrell,1,0.9616050364770294
GK Berg,1,0.9607345013765707
Washeem Abbas,1,0.9602652271467831
Pavandeep Singh,1,0.960167959944942
KA Pollard,1,0.958663285894344
T van der Gugten,1,0.9584352079350676
JDS Neesham,1,0.9580635973453789
AL Phehlukwayo,1,0.9562720025452232
NL McCullum,1,0.9561388298405791
Rubel Hossain,1,0.9559585818782734
Mohammad Hasnain,1,0.9556444435522271
A Vala,1,0.9555161288323561
M Morkel,1,0.9531333676752571
JE Taylor,1,0.9526316358517692
Aqib Iqbal,1,0.9523337103656525
CG Williams,1,0.9522647014413662
OD Hald,1,0.9510635467707976
KA Pollard,1,0.9479511618992157
TK Curran,1,0.9478115154140467
CW Perchard,1,0.946633348855469
JH Davey,1,0.946066747476972
RJ Sidebottom,1,0.9460454574821116
SM Curran,1,0.9446890836402246
