Bowler,Cluster,DPPI_Bowl
Mohammad Nadeem,1,1.144605869508808
CA Young,1,1.143060646622042
F Nsubuga,1,1.13929445194048
W Nalisa,1,1.1381035729720317
A Dananjaya,1,1.1376738595232032
SPD Smith,1,1.136105398499121
E Sebareme,1,1.1325981953988298
I Udana,1,1.1272957884712216
F Akankwasa,1,1.1237717255050717
Shahid Afridi,1,1.1233050682564327
Shiraz Khan,1,1.1219677716977265
Shahil Momin,1,1.121753745652168
EJB Miles,1,1.1190261489232456
N Dutta,1,1.1183957779481921
VP Thamotharam,1,1.1171320504952682
BA Pai,1,1.1165364355130307
A Bohara,1,1.116168333663013
SMSM Senanayake,1,1.1137756991764698
Janak Prakash,1,1.1112526851023923
MG Erasmus,1,1.1079914832403988
M Morkel,1,1.1063398640541728
Mohammad Saifuddin,1,1.1053773449293958
Zain Ahmad,1,1.1047882753264142
Junaid Siddique,1,1.1044501839370422
SC Getkate,1,1.1028015150004922
Ahsan Malik,1,1.1026744224102738
JJ Bumrah,1,1.1016949075908362
Rubel Hossain,1,1.098779494321778
AU Rashid,1,1.0985268940056103
Fareed Ahmad,1,1.0953967438460608
V Vijh,1,1.0942075632379016
SK Raina,1,1.0936686016911792
NSK Mehta,1,1.0868916319750603
JR Hopes,1,1.084223217159304
TM Dilshan,1,1.083841833063613
GJ Delany,1,1.0830328771453213
PW Borren,1,1.082000097213212
Abdur Razzak,1,1.081711757519449
DS Airee,1,1.0807617045695472
RR Patel,1,1.0738236971919337
IG Butler,1,1.0734183472909575
AR Puri,1,1.070734827911355
GT Main,1,1.0678800763551566
MG Bracewell,1,1.0667353409698024
SA Okpe,1,1.0656690962053155
BD Glover,1,1.0653422284896508
S Prasanna,1,1.0648398462210298
MA Baig,1,1.0597740431839526
Shadab Khan,1,1.0586841164021408
KMA Paul,1,1.0586447262324932
Sultan Ahmed,1,1.0576657439693098
A Zampa,1,1.055944831824599
TAM Siriwardana,1,1.052590677943726
L Ngidi,1,1.0520363287184658
J Little,1,1.0519289321006193
SM Sharif,1,1.0506428737416005
M Akayezu,1,1.0502373405869523
Pavandeep Singh,1,1.0481125118445553
CN Greaves,1,1.0464958369558945
OH Agbomadzie,1,1.0450612055088695
LJ Wright,1,1.0439996897148918
JC Darji,1,1.0433650493833813
SM Curran,1,1.0413803908623025
Shoriful Islam,1,1.0397584427757938
YK Pathan,1,1.038614560504251
E Rukiriza,1,1.0376936697587231
S Badree,1,1.0372147140556742
Amjad Javed,1,1.0360892513378044
Hamid Hassan,1,1.0343525834290441
Mohammad Ghazanfar,1,1.0343525834290441
HA Varaiya,1,1.0334588049481461
K Waiswa,1,1.0334298711979295
K Rabada,1,1.0323821502451322
IS Sodhi,1,1.031184009992522
FJ Klaassen,1,1.0306408771733064
GD Elliott,1,1.0297389321504926
BMAJ Mendis,1,1.0280703591664757
Sarfaraz Ali,1,1.0280398603265346
E Mathew,1,1.026057923069099
KOK Williams,1,1.023745498313704
GH Dockrell,1,1.0215765458159225
DG Blampied,1,1.01918278688016
R Ravindra,1,1.019016781631475
Shakib Al Hasan,1,1.0165735053935254
Namgay Thinley,1,1.0119596558600408
J Mulder,1,1.0110033911039913
C Campher,1,1.0107226162153924
AC Agar,1,1.0086136384598818
SW Tait,1,1.0080112912737917
Mohammad Wasim,1,1.007910101865672
T Lungameni,1,1.0064384344315056
S Vijayakumar,1,1.00626950727062
Mohammad Nabi,1,1.0061887754981715
RA Jadeja,1,1.00550028179187
MJ Santner,1,1.0040847489911888
IK Pathan,1,1.0033507389398821
S Nsubuga,1,1.0030575747283774
SP Gauchan,1,1.0021269152934988
Naveed Ahmed,1,0.9998405322234194
R Rampaul,1,0.9984143780106837
PJ Cummins,1,0.9983567637389898
Basil Hameed,1,0.9982753089109224
ACF Stokes,1,0.9971498572586424
GJ Delany,1,0.9963030010475219
YS Chahal,1,0.9944526212549396
SA Ahmad,1,0.9943080240411541
Imran Haider,1,0.9934892275837143
Washeem Abbas,1,0.9925363186528883
T Shamsi,1,0.9888707587688189
Sharafuddin Ashraf,1,0.9874368123114158
A Martel,1,0.9864899489656048
Mosaddek Hossain,1,0.9855406114748957
A Kirschbaum,1,0.9846989169176086
Saber Zakhil,1,0.9843283820152683
Ahmed Raza,1,0.9815432997830038
C Rumistrzewicz,1,0.9800353486445046
B Kumar,1,0.9781646742254465
HAM Shah,1,0.9780248188827854
Mirwais Ashraf,1,0.9758140854275635
Bilal Hassun,1,0.9751927396666373
K Mirpuri,1,0.972811069983944
Rashid Khan,1,0.971888720918703
AR Ramjani,1,0.9708850960937344
PM Seelaar,1,0.9693161863636448
RJ Trott,1,0.9677415850238814
JO Adedeji,1,0.9652210514055579
D Suzuki,1,0.9635774235583782
DJ Bravo,1,0.962722042032311
A Symonds,1,0.9613120364167314
J Botha,1,0.9605155282892555
Simi Singh,1,0.9603063009304216
Mohammad Hafeez,1,0.9594703109843326
NK Patel,1,0.9589857335689894
RD Chahar,1,0.9588151299167238
M Dixit,1,0.9587020890046795
MO Jones,1,0.9571144325728418
Azmatullah Omarzai,1,0.9559961361799884
A Dhingra,1,0.9554860474745323
KA Pollard,1,0.9541845273388778
HH Pandya,1,0.9536529763205707
R Ashwin,1,0.9535844127472098
SC Williams,1,0.953391097495201
SJ Benn,1,0.9531435963846575
AJ Tye,1,0.9519986179183755
Vichanath Singh,1,0.9510980811283775
YM Nkanya,1,0.9507550298465538
NLTC Perera,1,0.9505195211018262
GJ Maxwell,1,0.9503872360096166
PWH de Silva,1,0.9500084928803003
NL McCullum,1,0.9482041654799109
MRJ Watt,1,0.9461380679880256
Saeed Ajmal,1,0.9450048758173881
U Aryaman Sunil,1,0.9448688542148301
Karan KC,1,0.9418122560066908
AF Ifill,1,0.9407950326834069
MB Tambe,1,0.9398063360948266
LA Burns,1,0.9368025414022606
J Butler,1,0.9367477817732569
Rahmatullah Mangal,1,0.9362490304811437
CN Ackermann,1,0.935581430653866
HR Walsh,1,0.9346223652517003
Dawlat Zadran,1,0.9340392873023203
A Nortje,1,0.9340146571855392
MR Marsh,1,0.93163570435993
Junaid Aziz,1,0.9282841053366991
C Rububagumya,1,0.9269840182354897
ND Laegsgaard,1,0.9260641459488416
D Bishoo,1,0.9245441265474439
SK Awiah,1,0.9219270867276405
B Arora,1,0.9194348408137607
RP Burl,1,0.9190622461816519
DW Steyn,1,0.9187635000074903
AM Kimote,1,0.9179164992794797
CJ Chibhabha,1,0.917893639502493
Rafiullah,1,0.9177636154583426
Mahmudullah,1,0.9176460497499777
AR McBrine,1,0.916951350741499
Abdullah Mahmood,1,0.9164759824770452
LN Rajbanshi,1,0.9154271601844387
RE van der Merwe,1,0.9149933620653234
GP Meade,1,0.9145887367140823
GP Swann,1,0.9140727823196702
BM Tickner,1,0.9134661520645029
C Campher,1,0.9133591939464104
Sompal Kami,1,0.911242881173829
BC Fortuin,1,0.9106968923708825
MGSM Fernando,1,0.9088707260783896
DKD Warnakulasuriya,1,0.9079680281431869
DL Brangman,1,0.9078604547345447
J Little,1,0.9065747408361737
AJ Hosein,1,0.9060500121446783
SH Obed,1,0.9049829015999774
Amar Sharma,1,0.9042504649211189
CR Brathwaite,1,0.9038639477469027
Mustafizur Rahman,1,0.9024733613830662
Ali Masood,1,0.9010981376311787
Naveen-ul-Haq,1,0.9010715894075207
Avesh Khan,1,0.9009781219209629
TL Chatara,1,0.8986657729347473
SVE Bharathi,1,0.8980504677195831
Abdur Rehman,1,0.897161879486617
CJA Amini,1,0.8963921415913899
B White,1,0.894720749609184
Hasan Mahmud,1,0.8934223902409976
SO Ngoche,1,0.892004884008857
P Utseya,1,0.8916577660851248
J Bulele,1,0.8906344073806801
FA Allen,1,0.8902071869791917
RD Berrington,1,0.8885508880404327
JA Fitzgerald,1,0.8879693340651997
Karim Janat,1,0.8879032575961274
BJ McCarthy,1,0.8856009788757322
R Baaleri,1,0.8855637937884707
PW Borren,1,0.8842603753721923
C Karunaratne,1,0.8841014036809463
Muhammad Wafiq,1,0.8825289633090065
Lucky Ali,1,0.8804401234071507
BM Scholtz,1,0.8795095802197233
JO Holder,1,0.8794029928289666
BA Stokes,1,0.8778521487145928
A Conteh,1,0.8771314965798307
IDM Latin,1,0.8766984355128699
SN Thakur,1,0.8761106270469929
Umar Adam,1,0.8755175223517775
AAhan Achar,1,0.8738228437366943
Shoaib Malik,1,0.8737090848947552
CJ Jordan,1,0.8736091590924541
Saud Munir,1,0.873374985530016
Umran Malik,1,0.8726549557662302
Muslim Yar,1,0.8724662568335972
Elias Sunny,1,0.8722632388869372
BDH Stevens,1,0.8716011506789065
CRD Fernando,1,0.8698722800890683
RP Meredith,1,0.8688459955956387
Imad Wasim,1,0.867807877650933
CJ Dala,1,0.8664593443640082
MA Leask,1,0.8657955635485488
Sikandar Raza,1,0.8647860450284055
MR Adair,1,0.8626551863417294
R Ngarava,1,0.8620020907457574
AG Cremer,1,0.8618155822975768
M Magagula,1,0.8609703118731413
S Muniandy,1,0.8609036301443047
K Irakoze,1,0.8603660748934452
Samiullah Shenwari,1,0.8600665859756447
AD Russell,1,0.8565862716698334
P Mishra,1,0.8565044628400902
Mohammad Nadeem,1,0.8556746797945155
Usman Khan,1,0.8556591788524212
A Ashokan,1,0.8552269266664511
M Sarenac,1,0.8549901919825627
SR Watson,1,0.8549003471288247
DJG Sammy,1,0.8526943571373116
MW Parkinson,1,0.8522858804102276
KH Pandya,1,0.8517822871785036
Adnan Idrees,1,0.8507468671095342
SCJ Broad,1,0.8500217443386409
Mohammad Ghazanfar,1,0.8497087984062589
B Masaba,1,0.8494467650428199
A Bohara,1,0.849351280871282
Soumya Sarkar,1,0.8484191237204016
Mohammad Nawaz,1,0.8471317788588821
Khawar Ali,1,0.8463494742402071
S Lamichhane,1,0.845238326385044
WB Rankin,1,0.842161045284787
LS Livingstone,1,0.841040629688538
Kuldeep Yadav,1,0.8395207688924641
AR Patel,1,0.8393929095886996
Gurpratap Singh,1,0.8391480190037676
CK Langeveldt,1,0.8383734900064761
Anshuman Rath,1,0.837686606649247
PD Collingwood,1,0.8356781074933826
TG Southee,1,0.8350972004827861
Haris Rauf,1,0.8348167926605112
OF Smith,1,0.8345839513815769
PR Stirling,1,0.8342900568486884
WP Masakadza,1,0.8329011048978823
Nasrulla Rana,1,0.8328779850712188
Waqas Ahmad,1,0.8326465112672876
CJ Chibhabha,1,0.8320740084596959
S Badree,1,0.8320200534634593
BAW Mendis,1,0.8316091287454042
H Ssenyondo,1,0.8300917325832523
V Ganesan,1,0.8293616619683399
K Nassoro,1,0.8289032704714461
Fitri Sham,1,0.8286463639573882
V Vijh,1,0.8272678844140667
MP Stoinis,1,0.8262646333865276
MM Ali,1,0.824286353765302
Mohammad Hasnain,1,0.8237669722397946
Aizaz Khan,1,0.8236168566552492
KA Maharaj,1,0.8230980951309665
JA Morkel,1,0.8230721535325103
PADLR Sandakan,1,0.8229816168494976
Zeeshan Maqsood,1,0.8227802179066386
MH Yardy,1,0.8227277634766753
Iqbal Hussain,1,0.822401553007198
