Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
AS Mehmi,POWERPLAY,1,1,20,4,1,47,48,47.0,48.0,48.0,5.875,0,1.0,41.66666666666667,10.416666666666668,-0.722620504445314,0.07332791713617277,-0.44493355137215973,-0.5890480016224812,3.8712010109078907,3.8918202981106265,0.6931471805599453,3.8918202981106265,1
AU Rashid,POWERPLAY,1,1,29,6,2,63,60,63.0,60.0,60.0,6.300000000000001,0,1.0,48.333333333333336,13.333333333333334,-0.722620504445314,0.5417472482355669,-0.11243597147345774,-0.4271580522955282,4.1588830833596715,4.110873864173311,0.6931471805599453,4.110873864173311,1
AU Rashid,POWERPLAY,2,4,22,9,2,77,60,19.25,15.0,30.0,7.700000000000001,1,3.0,36.66666666666666,18.33333333333333,1.3836222061859889,-0.2779865811883739,0.4575598797814595,0.10612648666384562,3.0081547935525483,2.772588722239781,1.3862943611198906,3.4339872044851463,0
AV Lalcheta,POWERPLAY,1,1,34,11,1,64,60,64.0,60.0,60.0,6.4,0,1.0,56.66666666666666,20.0,-0.722620504445314,1.1272714121098089,0.6475584968664326,-0.38906629951271593,4.174387269895637,4.110873864173311,0.6931471805599453,4.110873864173311,1
AV Lalcheta,POWERPLAY,2,2,46,17,1,105,90,52.5,45.0,45.0,7.0,0,1.0,51.11111111111111,20.0,-0.722620504445314,0.7369219695269806,0.6475584968664326,-0.16051578281584164,3.979681653901961,3.828641396489095,0.6931471805599453,3.828641396489095,1
AW Hawkins-Kay,POWERPLAY,2,6,34,8,2,74,72,12.333333333333334,12.0,36.0,6.166666666666666,1,5.0,47.22222222222222,13.88888888888889,1.3836222061859889,0.46367735971900087,-0.04910309911180022,-0.4779470560059453,2.5902671654458267,2.5649493574615367,1.791759469228055,3.6109179126442243,0
AY Patel,POWERPLAY,1,1,16,4,0,21,24,21.0,24.0,24.0,5.25,0,1.0,66.66666666666666,16.666666666666664,-0.722620504445314,1.8299004087589001,0.26756126269648717,-0.8271214565150588,3.091042453358316,3.2188758248682006,0.6931471805599453,3.2188758248682006,1
AY Patel,POWERPLAY,2,6,41,3,0,33,60,5.5,10.0,30.0,3.3000000000000003,1,5.0,68.33333333333333,5.0,1.3836222061859889,1.9470052415337489,-1.0624290568983208,-1.5699106357799004,1.8718021769015913,2.3978952727983707,1.791759469228055,3.4339872044851463,0
Aamir Kaleem,POWERPLAY,1,3,29,11,3,98,66,32.666666666666664,22.0,66.0,8.90909090909091,0,3.0,43.93939393939394,21.21212121212121,-0.722620504445314,0.23301632546551126,0.7857393092918672,0.5666904066742138,3.5165082281731497,3.1354942159291497,1.3862943611198906,4.204692619390966,1
Aamir Kaleem,POWERPLAY,2,1,3,0,1,13,6,13.0,6.0,3.0,13.0,0,0.5,50.0,16.666666666666664,-0.722620504445314,0.6588520810104153,0.26756126269648717,2.1249893841529026,2.639057329615259,1.9459101490553132,0.4054651081081644,1.3862943611198906,1
Aamir Lal,POWERPLAY,1,1,6,2,1,17,12,17.0,12.0,12.0,8.5,0,1.0,50.0,25.0,-0.722620504445314,0.6588520810104153,1.2175543481213504,0.41086050892634446,2.8903717578961645,2.5649493574615367,0.6931471805599453,2.5649493574615367,1
Aamir Lal,POWERPLAY,2,3,4,3,0,17,12,5.666666666666667,4.0,6.0,8.5,0,1.5,33.33333333333333,25.0,-0.722620504445314,-0.5121962467380706,1.2175543481213504,0.41086050892634446,1.8971199848858813,1.6094379124341003,0.9162907318741551,1.9459101490553132,1
Aarif Sheikh,POWERPLAY,1,2,14,1,0,13,24,6.5,12.0,24.0,3.25,0,2.0,58.333333333333336,4.166666666666666,-0.722620504445314,1.244376244884658,-1.1574283654408073,-1.588956512171307,2.0149030205422647,2.5649493574615367,1.0986122886681096,3.2188758248682006,1
Aayan Afzal Khan,POWERPLAY,1,3,22,8,1,65,54,21.666666666666668,18.0,54.0,7.222222222222222,0,3.0,40.74074074074074,16.666666666666664,-0.722620504445314,0.008269676705701006,0.26756126269648717,-0.07586744329848069,3.120895416507997,2.9444389791664403,1.3862943611198906,4.007333185232471,1
Abdul Bashir,POWERPLAY,1,1,5,1,0,11,12,11.0,12.0,12.0,5.5,0,1.0,41.66666666666667,8.333333333333332,-0.722620504445314,0.07332791713617277,-0.6824318227283758,-0.7318920745580277,2.4849066497880004,2.5649493574615367,0.6931471805599453,2.5649493574615367,1
Abdul Naser Baluch,POWERPLAY,1,1,7,0,0,8,12,8.0,12.0,12.0,4.0,0,1.0,58.333333333333336,0.0,-0.722620504445314,1.244376244884658,-1.6324249081532387,-1.3032683663002138,2.1972245773362196,2.5649493574615367,0.6931471805599453,2.5649493574615367,1
Abdul Razzaq,POWERPLAY,1,6,44,12,2,85,84,14.166666666666666,14.0,84.0,6.071428571428571,1,0.0,52.38095238095239,16.666666666666664,1.3836222061859889,0.8261446992601993,0.26756126269648717,-0.5142249157990998,2.719100037288795,2.70805020110221,0.0,4.442651256490317,0
Abdul Razzaq,POWERPLAY,2,7,68,19,3,153,144,21.857142857142858,20.571428571428573,72.0,6.375,1,6.0,47.22222222222222,15.27777777777778,1.3836222061859889,0.46367735971900087,0.10922908179234386,-0.3985892377084192,3.1292636661785136,3.0713696877596113,1.9459101490553132,4.290459441148391,0
Abdullah Jasat,POWERPLAY,1,1,23,6,1,49,42,49.0,42.0,42.0,7.0,0,1.0,54.761904761904766,16.666666666666664,-0.722620504445314,0.9934373175099828,0.26756126269648717,-0.16051578281584164,3.912023005428146,3.7612001156935624,0.6931471805599453,3.7612001156935624,1
Abdullah Jasat,POWERPLAY,2,1,9,3,0,26,24,26.0,24.0,12.0,6.5,0,0.5,37.5,12.5,-0.722620504445314,-0.21943416480094893,-0.2074352800159441,-0.3509745467299037,3.295836866004329,3.2188758248682006,0.4054651081081644,2.5649493574615367,1
Abdur Razzak,POWERPLAY,1,2,37,9,3,103,84,51.5,42.0,84.0,7.357142857142858,0,2.0,44.04761904761904,14.285714285714285,-0.722620504445314,0.24062053538595532,-0.0038653331391878556,-0.024473808591511416,3.960813169597578,3.7612001156935624,1.0986122886681096,4.442651256490317,1
Abdur Razzak,POWERPLAY,2,3,36,10,2,75,66,25.0,22.0,33.0,6.818181818181818,0,1.5,54.54545454545454,18.181818181818183,-0.722620504445314,0.9782288976690927,0.4402872782282809,-0.22977351514822777,3.258096538021482,3.1354942159291497,0.9162907318741551,3.5263605246161616,1
Abdur Rehman,POWERPLAY,1,1,11,1,1,17,18,17.0,18.0,18.0,5.666666666666666,0,1.0,61.11111111111112,11.11111111111111,-0.722620504445314,1.439550966176073,-0.365767460920088,-0.6684058199200072,2.8903717578961645,2.9444389791664403,0.6931471805599453,2.9444389791664403,1
Abdur Rehman,POWERPLAY,2,1,5,0,1,14,12,14.0,12.0,6.0,7.0,0,0.5,41.66666666666667,8.333333333333332,-0.722620504445314,0.07332791713617277,-0.6824318227283758,-0.16051578281584164,2.70805020110221,2.5649493574615367,0.4054651081081644,1.9459101490553132,1
Abu Hider,POWERPLAY,2,2,25,10,1,69,54,34.5,27.0,27.0,7.666666666666666,0,1.0,46.2962962962963,20.37037037037037,-0.722620504445314,0.3986191192885296,0.6897804117742043,0.09342923573624086,3.56953269648137,3.332204510175204,0.6931471805599453,3.332204510175204,1
Abubacarr Kuyateh,POWERPLAY,1,1,15,3,0,29,30,29.0,30.0,30.0,5.8,0,1.0,50.0,10.0,-0.722620504445314,0.6588520810104153,-0.49243320564340304,-0.6176168162095906,3.4011973816621555,3.4339872044851463,0.6931471805599453,3.4339872044851463,1
Abubacarr Kuyateh,POWERPLAY,2,2,23,8,1,56,42,28.0,21.0,21.0,8.0,0,1.0,54.761904761904766,21.428571428571427,-0.722620504445314,0.9934373175099828,0.8104144543678375,0.22040174501228244,3.367295829986474,3.091042453358316,0.6931471805599453,3.091042453358316,1
Abul Farhad,POWERPLAY,1,2,12,2,2,34,24,17.0,12.0,24.0,8.5,0,2.0,50.0,16.666666666666664,-0.722620504445314,0.6588520810104153,0.26756126269648717,0.41086050892634446,2.8903717578961645,2.5649493574615367,1.0986122886681096,3.2188758248682006,1
Adil Butt,POWERPLAY,1,5,38,10,0,85,78,17.0,15.6,78.0,6.538461538461538,1,0.0,48.71794871794872,12.82051282051282,1.3836222061859889,0.5687714404143782,-0.17089708442268028,-0.33632387258266816,2.8903717578961645,2.8094026953624973,0.0,4.3694478524670215,0
Afif Khattak,POWERPLAY,1,1,4,0,0,3,6,3.0,6.0,6.0,3.0,0,1.0,66.66666666666666,0.0,-0.722620504445314,1.8299004087589001,-1.6324249081532387,-1.6841858941283379,1.3862943611198906,1.9459101490553132,0.6931471805599453,1.9459101490553132,1
Aftab Alam,POWERPLAY,1,1,8,2,0,13,12,13.0,12.0,12.0,6.5,0,1.0,66.66666666666666,16.666666666666664,-0.722620504445314,1.8299004087589001,0.26756126269648717,-0.3509745467299037,2.639057329615259,2.5649493574615367,0.6931471805599453,2.5649493574615367,1
Aftab Alam,POWERPLAY,2,2,33,10,2,77,66,38.5,33.0,33.0,7.0,0,1.0,50.0,18.181818181818183,-0.722620504445314,0.6588520810104153,0.4402872782282809,-0.16051578281584164,3.676300671907076,3.5263605246161616,0.6931471805599453,3.5263605246161616,1
Aftab Kayani,POWERPLAY,1,1,3,0,0,2,6,2.0,6.0,6.0,2.0,0,1.0,50.0,0.0,-0.722620504445314,0.6588520810104153,-1.6324249081532387,-2.065103421956462,1.0986122886681096,1.9459101490553132,0.6931471805599453,1.9459101490553132,1
Aftab Kayani,POWERPLAY,2,2,16,1,0,6,18,3.0,9.0,9.0,2.0,0,1.0,88.88888888888889,5.555555555555555,-0.722620504445314,3.3912981790902146,-0.9990961845366634,-2.065103421956462,1.3862943611198906,2.302585092994046,0.6931471805599453,2.302585092994046,1
Ahmadullah Shinwari,POWERPLAY,1,1,34,6,0,59,60,59.0,60.0,60.0,5.9,0,1.0,56.66666666666666,10.0,-0.722620504445314,1.1272714121098089,-0.49243320564340304,-0.579525063426778,4.0943445622221,4.110873864173311,0.6931471805599453,4.110873864173311,1
Ahmadullah Shinwari,POWERPLAY,2,2,37,4,3,67,72,33.5,36.0,36.0,5.583333333333334,0,1.0,51.388888888888886,9.722222222222223,-0.722620504445314,0.7564394416561221,-0.5240996418242316,-0.7001489472390172,3.5409593240373143,3.6109179126442243,0.6931471805599453,3.6109179126442243,1
Ahmed Hassan,POWERPLAY,1,2,12,2,0,13,18,6.5,9.0,18.0,4.333333333333333,0,2.0,66.66666666666666,11.11111111111111,-0.722620504445314,1.8299004087589001,-0.365767460920088,-1.1762958570241726,2.0149030205422647,2.302585092994046,1.0986122886681096,2.9444389791664403,1
Ahmed Raza,POWERPLAY,2,1,5,1,0,4,6,4.0,6.0,3.0,4.0,0,0.5,83.33333333333334,16.666666666666664,-0.722620504445314,3.000948736507387,0.26756126269648717,-1.3032683663002138,1.6094379124341003,1.9459101490553132,0.4054651081081644,1.3862943611198906,1
Ahmed Wardak,POWERPLAY,2,2,11,1,1,17,18,8.5,9.0,9.0,5.666666666666666,0,1.0,61.11111111111112,11.11111111111111,-0.722620504445314,1.439550966176073,-0.365767460920088,-0.6684058199200072,2.2512917986064953,2.302585092994046,0.6931471805599453,2.302585092994046,1
Ahsan Khan,POWERPLAY,1,2,26,10,7,111,60,55.5,30.0,60.0,11.1,0,2.0,43.333333333333336,28.33333333333333,-0.722620504445314,0.19043274991102116,1.5975515822912951,1.401246081279467,4.034240638152395,3.4339872044851463,1.0986122886681096,4.110873864173311,1
Ahsan Khan,POWERPLAY,2,1,12,4,5,65,30,65.0,30.0,15.0,13.0,0,0.5,40.0,30.0,-0.722620504445314,-0.04377691563867611,1.7875501993762684,2.1249893841529026,4.189654742026425,3.4339872044851463,0.4054651081081644,2.772588722239781,1
Ahsan Malik,POWERPLAY,1,3,20,6,2,56,42,18.666666666666668,14.0,42.0,8.0,0,3.0,47.61904761904761,19.047619047619047,-0.722620504445314,0.49155946276063117,0.5389878585321626,0.22040174501228244,2.9789251552376097,2.70805020110221,1.3862943611198906,3.7612001156935624,1
Ahsan Malik,POWERPLAY,2,2,20,9,1,63,48,31.5,24.0,24.0,7.875,0,1.0,41.66666666666667,20.833333333333336,-0.722620504445314,0.07332791713617277,0.7425578054089192,0.17278705403376693,3.481240089335692,3.2188758248682006,0.6931471805599453,3.2188758248682006,1
Aizaz Cheema,POWERPLAY,1,2,10,6,0,46,36,23.0,18.0,36.0,7.666666666666666,0,2.0,27.77777777777778,16.666666666666664,-0.722620504445314,-0.9025456893208987,0.26756126269648717,0.09342923573624086,3.1780538303479458,2.9444389791664403,1.0986122886681096,3.6109179126442243,1
Aizaz Khan,POWERPLAY,1,9,96,17,2,160,180,17.77777777777778,20.0,180.0,5.333333333333333,1,0.0,53.333333333333336,10.555555555555555,1.3836222061859889,0.8930617465601125,-0.4291003332817455,-0.7953783291960486,2.9326741375868544,3.044522437723423,0.0,5.198497031265826,0
Aizaz Khan,POWERPLAY,2,12,66,22,4,193,150,16.083333333333332,12.5,75.0,7.72,1,11.0,44.0,17.333333333333336,1.3836222061859889,0.23727468302096041,0.34356070953047674,0.1137448372204076,2.8381033293504077,2.6026896854443837,2.4849066497880004,4.330733340286331,0
Akhil Anil,POWERPLAY,1,1,16,5,0,34,30,34.0,30.0,30.0,6.8,0,1.0,53.333333333333336,16.666666666666664,-0.722620504445314,0.8930617465601125,0.26756126269648717,-0.23669928838146653,3.5553480614894135,3.4339872044851463,0.6931471805599453,3.4339872044851463,1
Akhil Anil,POWERPLAY,2,1,14,0,1,21,24,21.0,24.0,12.0,5.25,0,0.5,58.333333333333336,4.166666666666666,-0.722620504445314,1.244376244884658,-1.1574283654408073,-0.8271214565150588,3.091042453358316,3.2188758248682006,0.4054651081081644,2.5649493574615367,1
Akif Raja,POWERPLAY,2,3,14,7,0,48,36,16.0,12.0,18.0,8.0,0,1.5,38.88888888888889,19.444444444444446,-0.722620504445314,-0.12184680415524153,0.5842256245047753,0.22040174501228244,2.833213344056216,2.5649493574615367,0.9162907318741551,2.9444389791664403,1
Al-Amin Hossain,POWERPLAY,1,4,61,16,4,126,120,31.5,30.0,120.0,6.300000000000001,1,0.0,50.83333333333333,16.666666666666664,1.3836222061859889,0.7174044973978392,0.26756126269648717,-0.4271580522955282,3.481240089335692,3.4339872044851463,0.0,4.795790545596741,0
Al-Amin Hossain,POWERPLAY,2,6,75,13,3,117,132,19.5,22.0,66.0,5.318181818181818,1,5.0,56.81818181818182,12.12121212121212,1.3836222061859889,1.1379173059984322,-0.25061678389889264,-0.8011498068904139,3.0204248861443626,3.1354942159291497,1.791759469228055,4.204692619390966,0
Alexandros Karvelas,POWERPLAY,1,1,15,2,0,31,36,31.0,36.0,36.0,5.166666666666667,0,1.0,41.66666666666667,5.555555555555555,-0.722620504445314,0.07332791713617277,-0.9990961845366634,-0.8588645838340689,3.4657359027997265,3.6109179126442243,0.6931471805599453,3.6109179126442243,1
Ali Dawood,POWERPLAY,1,1,9,4,2,40,24,40.0,24.0,24.0,10.0,0,1.0,37.5,25.0,-0.722620504445314,-0.21943416480094893,1.2175543481213504,0.9822368006685306,3.713572066704308,3.2188758248682006,0.6931471805599453,3.2188758248682006,1
Ali Hasan,POWERPLAY,2,3,31,5,2,50,54,16.666666666666668,18.0,27.0,5.555555555555555,0,1.5,57.407407407407405,12.962962962962962,-0.722620504445314,1.1793180044541864,-0.15465788638122963,-0.7107299896786876,2.8716796248840124,2.9444389791664403,0.9162907318741551,3.332204510175204,1
Ali Khan,POWERPLAY,2,1,12,2,0,13,18,13.0,18.0,9.0,4.333333333333333,0,0.5,66.66666666666666,11.11111111111111,-0.722620504445314,1.8299004087589001,-0.365767460920088,-1.1762958570241726,2.639057329615259,2.9444389791664403,0.4054651081081644,2.302585092994046,1
Ali Masood,POWERPLAY,1,1,8,3,2,33,18,33.0,18.0,18.0,11.0,0,1.0,44.44444444444444,27.77777777777778,-0.722620504445314,0.2685026384275866,1.5342187099296383,1.3631543284966547,3.5263605246161616,2.9444389791664403,0.6931471805599453,2.9444389791664403,1
Ali Masood,POWERPLAY,2,1,5,1,1,14,12,14.0,12.0,6.0,7.0,0,0.5,41.66666666666667,16.666666666666664,-0.722620504445314,0.07332791713617277,0.26756126269648717,-0.16051578281584164,2.70805020110221,2.5649493574615367,0.4054651081081644,1.9459101490553132,1
Ali Nayyer,POWERPLAY,1,4,57,10,4,125,108,31.25,27.0,108.0,6.944444444444445,1,0.0,52.77777777777778,12.962962962962962,1.3836222061859889,0.8540268023018295,-0.15465788638122963,-0.1816778676951818,3.4735180432417816,3.332204510175204,0.0,4.6913478822291435,0
