Feature,Importance
BWI_normalized,0.5657883882057015
BBI_log,0.1884731346221901
SPI_log,0.1510601545143528
SR_log,0.04490054892604994
BA_log,0.020880282790178218
BP_normalized,0.010497878328995238
Econ_normalized,0.009226238745027324
DBP_normalized,0.009173373867504966
BWI_normalized,0.5792935087512933
BBI_log,0.16870101878618118
SPI_log,0.158159819502784
SR_log,0.044215415060237136
BA_log,0.017447323823869546
BP_normalized,0.012643225696789693
DBP_normalized,0.011939262542843068
Econ_normalized,0.007600425836002191
