Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
A Flintoff,DEATH,1,2,7,5,1,56,36,28.0,18.0,36.0,9.333333333333334,0,2.0,19.444444444444446,16.666666666666664,-0.722620504445314,-1.4880698531951415,0.26756126269648717,0.7282917821164481,3.367295829986474,2.9444389791664403,1.0986122886681096,3.6109179126442243,0
A Gbla,DEATH,1,11,23,2,1,48,48,4.363636363636363,4.363636363636363,48.0,6.0,1,0.0,47.91666666666667,6.25,1.3836222061859889,0.5124710400418548,-0.9199300940845914,-0.5414333106439657,1.6796421711073488,1.6796421711073488,0.0,3.8918202981106265,1
A Husain,DEATH,1,2,6,0,1,15,12,7.5,6.0,12.0,7.5,0,2.0,50.0,8.333333333333332,-0.722620504445314,0.6588520810104153,-0.6824318227283758,0.0299429810982204,2.1400661634962708,1.9459101490553132,1.0986122886681096,2.5649493574615367,0
A Husain,DEATH,2,2,9,1,0,16,18,8.0,9.0,9.0,5.333333333333333,0,1.0,50.0,5.555555555555555,-0.722620504445314,0.6588520810104153,-0.9990961845366634,-0.7953783291960486,2.1972245773362196,2.302585092994046,0.6931471805599453,2.302585092994046,0
A Khan,DEATH,1,1,4,2,1,19,12,19.0,12.0,12.0,9.5,0,1.0,33.33333333333333,25.0,-0.722620504445314,-0.5121962467380706,1.2175543481213504,0.7917780367544686,2.995732273553991,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Khan,DEATH,2,3,9,2,2,30,17,10.0,5.666666666666667,8.5,10.588235294117649,0,1.5,52.94117647058824,23.52941176470588,-0.722620504445314,0.8655076682601482,1.0499085095169627,1.2063059346850746,2.3978952727983707,1.8971199848858813,0.9162907318741551,2.2512917986064953,0
A Kheterpal,DEATH,1,3,8,9,0,75,54,25.0,18.0,54.0,8.333333333333332,0,3.0,14.814814814814811,16.666666666666664,-0.722620504445314,-1.813361055347499,0.26756126269648717,0.34737425428832336,3.258096538021482,2.9444389791664403,1.3862943611198906,4.007333185232471,0
A Kheterpal,DEATH,2,1,8,2,1,41,28,41.0,28.0,14.0,8.785714285714285,0,0.5,28.57142857142857,10.714285714285714,-0.722620504445314,-0.8467814832376378,-0.4110052268927006,0.5196940883058081,3.7376696182833684,3.367295829986474,0.4054651081081644,2.70805020110221,0
A Krishna,DEATH,1,2,5,2,0,13,12,6.5,6.0,12.0,6.5,0,2.0,41.66666666666667,16.666666666666664,-0.722620504445314,0.07332791713617277,0.26756126269648717,-0.3509745467299037,2.0149030205422647,1.9459101490553132,1.0986122886681096,2.5649493574615367,0
A Krishna,DEATH,2,2,5,3,1,20,11,10.0,5.5,5.5,10.909090909090908,0,1.0,45.45454545454545,36.36363636363637,-0.722620504445314,0.33947526435173725,2.5129994646098,1.3285254623304612,2.3978952727983707,1.8718021769015913,0.6931471805599453,1.8718021769015913,0
