Feature,Importance
BWI_normalized,0.5298864961288889
SPI_log,0.1951296300236678
BBI_log,0.18744637341349749
SR_log,0.03529243145694931
BP_normalized,0.021079036533602685
DBP_normalized,0.013716881236512116
BA_log,0.011877947177249312
Econ_normalized,0.005571204029632518
BWI_normalized,0.5406884405591945
BBI_log,0.20252081983334913
SPI_log,0.16862348009649106
SR_log,0.03507990666206298
BP_normalized,0.020259833613980344
DBP_normalized,0.01483889091017274
BA_log,0.01304520151039099
Econ_normalized,0.0049434268143582856
